movie_id;title;duration;genre;description;starring;direction;production;rating;review;release_date;poster;
1;Zielona Mila;189;Dramat;Emerytowany strażnik więzienny opowiada przyjaciółce o niezwykłym mężczyźnie, którego skazano na śmierć za zabójstwo dwóch 9-letnich dziewczynek.;Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell;Frank Darabont;USA;8,6;;06.12.1999;images/zielona_mila.jpg;
2;Skazani na Shawshank;142;Dramat;Adaptacja opowiadania Stephena Kinga. Niesłusznie skazany na dożywocie bankier, stara się przetrwać w brutalnym, więziennym świecie.;Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Larry Brandenburg;Frank Darabont;USA;8,8;;10.09.1994;images/skazani_na_shawshank.jpg;
3;Forrest Gump;142;Dramat, Komedia;Historia życia Forresta, chłopca o niskim ilorazie inteligencji z niedowładem kończyn, który staje się miliarderem i bohaterem wojny w Wietnamie.;Tom Hanks, Robin Wright, Sally Field, Gary Sinise, Mykelti Williamson, Michael Conner Humphreys, Hanna Hall, Haley Joel Osment, Nora Dunfee;Robert Zemeckis;USA;8,5;;23.06.1994;images/forrest_gump.jpg;
4;Leon Zawodowiec;110;Dramat, Kryminał ;Płatny morderca ratuje dwunastoletnią dziewczynkę, której rodzina została zabita przez skorumpowanych policjantów.;Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willie One Blood, Don Creech, Keith A. Glascoe, Randolph Scott;Luc Besson;Francja, USA;8,1;;14.09.1994;images/leon_zawodowiec.jpg;
5;Requiem dla snu;102;Dramat;Historia czwórki bohaterów, dla których używki są ucieczką przed otaczającą ich rzeczywistością.;Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, Christopher McDonald, Louise Lasser, Keith David, Sean Gullette, Denise Dowse;Darren Aronofsky;USA;7,8;;14.05.2000;images/requiem_dla_snu.jpg;
6;Matrix;136;Akcja, Sci-Fi;Haker komputerowy Neo dowiaduje się od tajemniczych rebeliantów, że świat, w którym żyje, jest tylko obrazem przesyłanym do jego mózgu przez roboty.;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Belinda McClory;Lilly Wachowski, Lana Wachowski;Australia, USA;7,6;;24.03.1999;images/matrix.jpg;
7;Milczenie owiec;118;Thriller;Seryjny morderca i inteligentna agentka łączą siły, by znaleźć przestępcę obdzierającego ze skóry swoje ofiary.;Anthony Hopkins, Jodie Foster, Ted Levine, Kasi Lemmons, Lawrence A. Bonney, Lawrence T. Wrentz, Scott Glenn, Anthony Heald, Frankie Faison;Jonathan Demme;USA;8,2;;30.01.1991;images/milczenie_owiec.jpg;
8;Gladiator;155;Dramat historyczny;Generał Maximus - prawa ręka cesarza, szczęśliwy mąż i ojciec - w jednej chwili traci wszystko. Jako niewolnik-gladiator musi walczyć na arenie o przeżycie.;Russel Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Derek Jacobi, Djimon Hounsou, Richard Harris, David Schofield, John Shrapnel;Ridley Scott;USA, Wielka Brytania;8,1;;01.05.2000;images/gladiator.jpg;
9;Avatar;162;Sci-Fi;Jake, sparaliżowany były komandos, zostaje wysłany na planetę Pandora, gdzie zaprzyjaźnia się z lokalną społecznością i postanawia jej pomóc.;Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi;James Cameron;USA, Wielka Brytania;7,4;;10.12.2009;images/avatar.jpg;
10;Shrek;90;Animacja, Familijny, Komedia;By odzyskać swój dom, brzydki ogr z gadatliwym osłem wyruszają uwolnić piękną księżniczkę.;Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Bobby Block, Jim Cummings, Simon J. Smith, Guillaume Aretos;Andrew Adamson / Vicky Jenson;USA;7,8;;22.04.2001;images/shrek.jpg;
11;Szeregowiec Ryan;170;Dramat, Wojenny;W poszukiwaniu zaginionego szeregowca wysłany zostaje doborowy oddział żołnierzy.;Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Matt Damon;Steven Spielberg;USA;8,1;;21.07.1998;images/szeregowiec_ryan.jpg;
12;Podziemny krąg;139;Thriller, Psychologiczny;Dwóch mężczyzn znudzonych rutyną zakłada klub, w którym co tydzień odbywają się walki na gołe pięści.;Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Richmond Arquette, David Andrews, George Maguire;David Fincher;Niemcy, USA;8,3;;10.09.1999;images/podziemny_krag.jpg;
13;Pulp Fiction;154;Gangsterski;Przemoc i odkupienie w opowieści o dwóch płatnych mordercach pracujących na zlecenie mafii, żonie gangstera, bokserze i parze okradającej ludzi w restauracji.;John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Harvey Keitel, Ving Rhames, Tim Roth, Amanda Plummer, Quentin Tarantino;Quentin Tarantino;USA;8,4;;21.03.1994;images/pulp_fiction.jpg;
14;Titanic;194;Melodramat, Katastroniczny;Rok 1912, brytyjski statek Titanic wyrusza w swój dziewiczy rejs do USA. Na pokładzie emigrant Jack przypadkowo spotyka arystokratkę Rose.;Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner;James Cameron;USA;7,3;;01.11.1997;images/titanic.jpg;
15;Nietykalni;112;Biograficzny, Dramat, Komedia;Sparaliżowany milioner zatrudnia do opieki młodego chłopaka z przedmieścia, który właśnie wyszedł z więzienia.;François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Clotilde Mollet, Alba Ga?a Bellugi, Cyril Mendy, Christian Ameri, Grégoire Oestermann;Olivier Nakache;Francja;8,7;;23.09.2011;images/nietykalni.jpg;
16;Ojciec chrzestny;175;Dramat, Gangsterski;Opowieść o nowojorskiej rodzinie mafijnej. Starzejący się Don Corleone pragnie przekazać władzę swojemu synowi.;Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri;Francis Ford Coppola;USA;8,6;;15.03.1972;images/ojciec_chrzestny.jpg;
17;Szósty zmysł;107;Thriller;Psycholog dziecięcy próbuje pomóc ośmioletniemu chłopcu widzącemu zmarłych poradzić sobie z tym niezwykłym darem.;Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Donnie Wahlberg, Glenn Fitzgerald, Trevor Morgan, Bruce Norris, Jodi Dawson;M. Night Shyamalan;USA;7,8;;02.08.1999;images/szosty_zmysl.jpg;
